geneID,geneID,hamming
RPL24,RPL24,2.3846153846153846
NBEAL1,NBEAL1,1.2272727272727273
MIF,MIF,1.3148148148148149
PLD3,PLD3,1.0784313725490196
ERBB2,ERBB2,0.4025423728813559
HLA-E,HLA-E,1.763157894736842
PSMD8,PSMD8,1.3846153846153846
YWHAZ,YWHAZ,0.6428571428571429
MUC1,MUC1,2.2083333333333335
CISD3,CISD3,1.5714285714285714
MTRNR2L8,MTRNR2L8,0.5084745762711864
RPS10,RPS10,2.5
GABARAP,GABARAP,2.1666666666666665
CRIP2,CRIP2,2.5
S100A11,S100A11,1.4166666666666667
CD9,CD9,1.8333333333333333
GPX1,GPX1,1.53125
FLNA,FLNA,1.5909090909090908
TUBA1B,TUBA1B,1.0
RHOC,RHOC,2.375
PIGT,PIGT,2.1666666666666665
C4B,C4B,0.5161290322580645
NENF,NENF,1.8333333333333333
COL6A3,COL6A3,0.58
PABPC1,PABPC1,0.5
RPL5,RPL5,2.5
RPS16,RPS16,0.38461538461538464
MTRNR2L12,MTRNR2L12,1.0795454545454546
AEBP1,AEBP1,1.375
PFN1,PFN1,2.111111111111111
RPSA,RPSA,1.7142857142857142
RPS3A,RPS3A,0.7222222222222222
ATP5E,ATP5E,1.2857142857142858
RPS17,RPS17,1.6764705882352942
RPL21,RPL21,0.9814814814814815
CD24,CD24,0.28888888888888886
FXYD3,FXYD3,4.833333333333333
